"navn","komnr","år","gjerningssted","g_komnr","alt","eiendomstyveri","vold_mishandling","rusmidler","orden_integritet","trafikk","annet"
"Bokn",1145,"2022-2023","1145 Bokn",1145,40,6,NA,NA,NA,23,6
"Tysvær",1146,"2022-2023","1146 Tysvær",1146,364,60,50,18,23,109,106
"Karmøy",1149,"2022-2023","1149 Karmøy",1149,1753,380,286,192,213,286,398
"Vindafjord",1160,"2022-2023","1160 Vindafjord",1160,410,34,39,60,128,94,57
"Bergen",4601,"2022-2023","4601 Bergen",4601,17664,7034,2195,1618,1590,2052,3177
"Kinn",4602,"2022-2023","4602 Kinn",4602,598,97,115,86,63,83,156
"Etne",4611,"2022-2023","4611 Etne",4611,135,17,14,9,14,53,30
"Sveio",4612,"2022-2023","4612 Sveio",4612,209,26,26,17,14,74,52
"Bømlo",4613,"2022-2023","4613 Bømlo",4613,299,52,46,27,26,42,107
"Stord",4614,"2022-2023","4614 Stord",4614,787,148,110,119,91,149,171
"Fitjar",4615,"2022-2023","4615 Fitjar",4615,84,12,10,8,NA,25,26
"Tysnes",4616,"2022-2023","4616 Tysnes",4616,109,17,10,15,7,15,46
"Kvinnherad",4617,"2022-2023","4617 Kvinnherad",4617,332,56,39,38,35,50,115
"Ullensvang",4618,"2022-2023","4618 Ullensvang",4618,478,67,56,56,39,135,126
"Eidfjord",4619,"2022-2023","4619 Eidfjord",4619,65,NA,5,NA,NA,33,17
"Ulvik",4620,"2022-2023","4620 Ulvik",4620,25,10,NA,NA,NA,NA,7
"Voss",4621,"2022-2023","4621 Voss",4621,617,155,89,47,45,123,160
"Kvam",4622,"2022-2023","4622 Kvam",4622,196,30,31,13,19,35,70
"Samnanger",4623,"2022-2023","4623 Samnanger",4623,68,9,11,5,7,23,14
"Bjørnafjorden",4624,"2022-2023","4624 Bjørnafjorden",4624,778,166,118,72,58,142,224
"Austevoll",4625,"2022-2023","4625 Austevoll",4625,173,30,23,11,17,24,69
"Øygarden",4626,"2022-2023","4626 Øygarden",4626,1616,498,225,168,117,178,432
"Askøy",4627,"2022-2023","4627 Askøy",4627,841,207,130,62,58,111,274
"Vaksdal",4628,"2022-2023","4628 Vaksdal",4628,125,16,11,7,8,57,27
"Modalen",4629,"2022-2023","4629 Modalen",4629,8,NA,NA,NA,NA,NA,NA
"Osterøy",4630,"2022-2023","4630 Osterøy",4630,185,21,36,13,13,34,70
"Alver",4631,"2022-2023","4631 Alver",4631,955,182,143,76,82,189,283
"Austrheim",4632,"2022-2023","4632 Austrheim",4632,103,13,11,6,10,16,48
"Fedje",4633,"2022-2023","4633 Fedje",4633,11,NA,NA,NA,NA,NA,NA
"Masfjorden",4634,"2022-2023","4634 Masfjorden",4634,39,NA,NA,NA,NA,14,13
"Gulen",4635,"2022-2023","4635 Gulen",4635,41,5,5,6,NA,10,12
"Solund",4636,"2022-2023","4636 Solund",4636,12,NA,NA,NA,NA,NA,7
"Hyllestad",4637,"2022-2023","4637 Hyllestad",4637,25,NA,NA,NA,NA,NA,10
"Høyanger",4638,"2022-2023","4638 Høyanger",4638,137,20,20,26,9,36,27
"Vik",4639,"2022-2023","4639 Vik",4639,77,10,11,8,10,18,22
"Sogndal",4640,"2022-2023","4640 Sogndal",4640,413,125,58,26,56,60,89
"Aurland",4641,"2022-2023","4641 Aurland",4641,54,6,NA,NA,NA,15,21
"Lærdal",4642,"2022-2023","4642 Lærdal",4642,198,7,8,NA,NA,157,20
"Årdal",4643,"2022-2023","4643 Årdal",4643,84,12,17,6,10,11,29
"Luster",4644,"2022-2023","4644 Luster",4644,105,10,26,7,12,19,33
"Askvoll",4645,"2022-2023","4645 Askvoll",4645,57,NA,10,5,6,11,22
"Fjaler",4646,"2022-2023","4646 Fjaler",4646,52,7,8,6,NA,8,20
"Sunnfjord",4647,"2022-2023","4647 Sunnfjord",4647,918,193,99,132,113,206,176
"Bremanger",4648,"2022-2023","4648 Bremanger",4648,88,7,17,6,9,17,34
"Stad",4649,"2022-2023","4649 Stad",4649,272,52,47,31,23,48,72
"Gloppen",4650,"2022-2023","4650 Gloppen",4650,117,15,16,12,14,32,29
"Stryn",4651,"2022-2023","4651 Stryn",4651,190,34,24,26,15,51,41
"Kristiansund",1505,"2022-2023","1505 Kristiansund",1505,1265,287,215,169,193,142,261
"Molde",1506,"2022-2023","1506 Molde",1506,1265,305,188,168,154,189,262
"Ålesund",1508,"2022-2023","1507 Ålesund (2020-2023)",1507,3088,674,527,360,379,553,597
"Vanylven",1511,"2022-2023","1511 Vanylven",1511,88,7,21,6,6,17,33
"Sande",1514,"2022-2023","1514 Sande",1514,66,13,11,6,7,13,18
"Herøy (Møre og Romsdal)",1515,"2022-2023","1515 Herøy (Møre og Romsdal)",1515,280,33,55,26,27,65,75
"Ulstein",1516,"2022-2023","1516 Ulstein",1516,270,55,42,28,30,49,66
"Hareid",1517,"2022-2023","1517 Hareid",1517,125,16,28,15,5,30,32
"Ørsta",1520,"2022-2023","1520 Ørsta",1520,331,34,41,26,27,114,91
"Stranda",1525,"2022-2023","1525 Stranda",1525,115,21,15,10,9,23,37
"Sykkylven",1528,"2022-2023","1528 Sykkylven",1528,180,18,26,18,26,39,54
"Sula",1531,"2022-2023","1531 Sula",1531,248,30,35,43,18,52,71
"Giske",1532,"2022-2023","1532 Giske",1532,225,31,27,48,19,33,68
"Vestnes",1535,"2022-2023","1535 Vestnes",1535,233,37,26,21,18,78,55
"Rauma",1539,"2022-2023","1539 Rauma",1539,318,43,27,25,19,153,52
"Aukra",1547,"2022-2023","1547 Aukra",1547,83,11,16,17,7,11,23
"Averøy",1554,"2022-2023","1554 Averøy",1554,170,26,31,19,14,28,53
"Gjemnes",1557,"2022-2023","1557 Gjemnes",1557,102,8,9,12,6,49,19
"Tingvoll",1560,"2022-2023","1560 Tingvoll",1560,89,13,18,15,9,15,19
"Sunndal",1563,"2022-2023","1563 Sunndal",1563,257,36,54,29,24,45,70
"Surnadal",1566,"2022-2023","1566 Surnadal",1566,142,20,19,18,16,26,45
"Smøla",1573,"2022-2023","1573 Smøla",1573,45,NA,7,NA,NA,8,21
"Aure",1576,"2022-2023","1576 Aure",1576,67,8,13,9,7,10,22
"Volda",1577,"2022-2023","1577 Volda",1577,340,57,43,38,31,109,63
"Fjord",1578,"2022-2023","1578 Fjord",1578,76,11,7,NA,8,14,34
"Hustadvika",1579,"2022-2023","1579 Hustadvika",1579,374,46,59,53,28,89,100
"Trondheim - Tråante",5001,"2022-2023","5001 Trondheim - Tråante",5001,13354,5597,1517,1089,1172,1162,2817
"Steinkjer",5006,"2022-2023","5006 Steinkjer",5006,1157,288,158,130,108,202,273
"Namsos - Nåavmesjenjaelmie",5007,"2022-2023","5007 Namsos - Nåavmesjenjaelmie",5007,665,105,109,68,87,116,181
"Frøya",5014,"2022-2023","5014 Frøya",5014,227,25,28,36,33,55,50
"Osen",5020,"2022-2023","5020 Osen",5020,18,NA,7,NA,NA,NA,NA
"Oppdal",5021,"2022-2023","5021 Oppdal",5021,263,52,36,26,21,70,59
"Rennebu",5022,"2022-2023","5022 Rennebu",5022,175,14,18,17,6,105,16
"Røros - Rosse",5025,"2022-2023","5025 Røros - Rosse",5025,192,32,33,13,30,29,56
"Holtålen",5026,"2022-2023","5026 Holtålen",5026,42,NA,NA,6,NA,11,14
"Midtre Gauldal",5027,"2022-2023","5027 Midtre Gauldal",5027,279,25,31,15,16,136,58
"Melhus",5028,"2022-2023","5028 Melhus",5028,539,90,74,34,43,150,150
"Skaun",5029,"2022-2023","5029 Skaun",5029,274,36,44,16,16,91,73
"Malvik",5031,"2022-2023","5031 Malvik",5031,436,77,51,45,28,116,119
"Selbu",5032,"2022-2023","5032 Selbu",5032,128,22,14,17,11,23,42
"Tydal",5033,"2022-2023","5033 Tydal",5033,23,NA,NA,NA,NA,6,7
"Meråker",5034,"2022-2023","5034 Meråker",5034,109,12,11,28,9,19,32
"Stjørdal",5035,"2022-2023","5035 Stjørdal",5035,1536,435,177,220,149,280,276
"Frosta",5036,"2022-2023","5036 Frosta",5036,187,12,18,11,8,16,123
"Levanger - Levangke",5037,"2022-2023","5037 Levanger - Levangke",5037,770,214,112,60,48,139,198
"Verdal",5038,"2022-2023","5038 Verdal",5038,781,205,94,84,91,161,148
"Snåase - Snåsa",5041,"2022-2023","5041 Snåase - Snåsa",5041,49,5,NA,NA,NA,18,17
"Lierne",5042,"2022-2023","5042 Lierne",5042,31,6,NA,5,NA,NA,15
"Raarvihke - Røyrvik",5043,"2022-2023","5043 Raarvihke - Røyrvik",5043,14,5,NA,NA,NA,NA,NA
"Namsskogan",5044,"2022-2023","5044 Namsskogan",5044,40,7,7,NA,NA,13,9
"Grong",5045,"2022-2023","5045 Grong",5045,120,12,7,12,7,52,31
"Høylandet",5046,"2022-2023","5046 Høylandet",5046,34,NA,NA,NA,NA,15,9
"Overhalla",5047,"2022-2023","5047 Overhalla",5047,82,12,8,8,6,22,27
"Flatanger",5049,"2022-2023","5049 Flatanger",5049,23,NA,7,NA,NA,NA,8
"Leka",5052,"2022-2023","5052 Leka",5052,13,NA,7,NA,NA,NA,NA
"Inderøy",5053,"2022-2023","5053 Inderøy",5053,157,24,21,15,10,43,45
"Indre Fosen",5054,"2022-2023","5054 Indre Fosen",5054,351,51,41,36,29,106,89
"Heim",5055,"2022-2023","5055 Heim",5055,182,25,24,12,12,57,53
"Hitra",5056,"2022-2023","5056 Hitra",5056,300,36,29,23,37,105,71
"Ørland",5057,"2022-2023","5057 Ørland",5057,383,53,55,45,33,74,124
"Åfjord",5058,"2022-2023","5058 Åfjord",5058,126,16,23,NA,11,24,49
"Orkland",5059,"2022-2023","5059 Orkland",5059,864,179,108,80,72,198,228
"Nærøysund",5060,"2022-2023","5060 Nærøysund",5060,381,40,66,44,50,86,98
"Rindal",5061,"2022-2023","5061 Rindal",5061,32,NA,NA,NA,NA,NA,19
"Bodø",1804,"2022-2023","1804 Bodø",1804,2344,626,419,325,253,267,455
"Narvik",1806,"2022-2023","1806 Narvik",1806,970,153,160,91,112,161,295
"Bindal",1811,"2022-2023","1811 Bindal",1811,22,NA,NA,NA,NA,6,5
"Sømna",1812,"2022-2023","1812 Sømna",1812,30,NA,NA,NA,NA,6,14
"Brønnøy",1813,"2022-2023","1813 Brønnøy",1813,243,24,48,25,30,41,76
"Vega",1815,"2022-2023","1815 Vega",1815,30,NA,8,NA,6,NA,14
"Vevelstad",1816,"2022-2023","1816 Vevelstad",1816,10,NA,NA,NA,NA,NA,5
"Herøy (Nordland)",1818,"2022-2023","1818 Herøy (Nordland)",1818,31,NA,8,NA,NA,6,12
"Alstahaug",1820,"2022-2023","1820 Alstahaug",1820,318,49,57,45,44,54,71
"Leirfjord",1822,"2022-2023","1822 Leirfjord",1822,80,NA,16,9,6,29,17
"Vefsn",1824,"2022-2023","1824 Vefsn",1824,546,72,102,80,58,132,103
"Grane",1825,"2022-2023","1825 Grane",1825,57,7,9,NA,NA,27,9
"Aarborte - Hattfjelldal",1826,"2022-2023","1826 Aarborte - Hattfjelldal",1826,22,NA,NA,NA,NA,NA,11
"Dønna",1827,"2022-2023","1827 Dønna",1827,43,NA,7,5,NA,9,14
"Nesna",1828,"2022-2023","1828 Nesna",1828,34,7,7,NA,5,NA,10
"Hemnes",1832,"2022-2023","1832 Hemnes",1832,122,13,17,21,7,31,34
"Rana - Raane",1833,"2022-2023","1833 Rana - Raane",1833,1167,271,206,129,141,207,215
"Lurøy",1834,"2022-2023","1834 Lurøy",1834,36,NA,NA,NA,NA,NA,21
"Træna",1835,"2022-2023","1835 Træna",1835,8,NA,NA,NA,NA,NA,NA
"Rødøy",1836,"2022-2023","1836 Rødøy",1836,22,NA,NA,NA,NA,NA,8
"Meløy",1837,"2022-2023","1837 Meløy",1837,290,20,32,20,20,30,169
"Gildeskål",1838,"2022-2023","1838 Gildeskål",1838,72,9,10,7,NA,16,28
"Beiarn",1839,"2022-2023","1839 Beiarn",1839,17,NA,NA,NA,NA,6,6
"Saltdal",1840,"2022-2023","1840 Saltdal",1840,220,25,29,31,13,65,59
"Fauske - Fuossko",1841,"2022-2023","1841 Fauske - Fuossko",1841,513,83,94,74,47,116,101
"Sørfold - Fuolldá",1845,"2022-2023","1845 Sørfold - Fuolldá",1845,75,6,8,9,NA,37,13
"Steigen",1848,"2022-2023","1848 Steigen",1848,74,NA,20,7,NA,12,27
"Lødingen",1851,"2022-2023","1851 Lødingen",1851,60,6,16,6,NA,16,13
"Evenes - Evenássi",1853,"2022-2023","1853 Evenes - Evenássi",1853,111,24,9,7,NA,51,18
"Røst",1856,"2022-2023","1856 Røst",1856,13,NA,NA,NA,NA,NA,NA
"Værøy",1857,"2022-2023","1857 Værøy",1857,23,NA,NA,NA,NA,NA,12
"Flakstad",1859,"2022-2023","1859 Flakstad",1859,42,7,NA,6,NA,11,15
"Vestvågøy",1860,"2022-2023","1860 Vestvågøy",1860,532,93,78,73,60,108,121
"Vågan",1865,"2022-2023","1865 Vågan",1865,381,93,58,47,36,58,92
"Hadsel",1866,"2022-2023","1866 Hadsel",1866,243,37,42,33,21,50,61
"Bø (Nordland)",1867,"2022-2023","1867 Bø (Nordland)",1867,87,10,22,NA,7,18,27
"Øksnes",1868,"2022-2023","1868 Øksnes",1868,118,14,22,17,13,14,39
"Sortland - Suortá",1870,"2022-2023","1870 Sortland - Suortá",1870,484,97,56,71,41,86,133
"Andøy",1871,"2022-2023","1871 Andøy",1871,137,34,16,10,13,20,46
"Moskenes",1874,"2022-2023","1874 Moskenes",1874,34,5,NA,NA,NA,5,15
"Hábmer - Hamarøy",1875,"2022-2023","1875 Hábmer - Hamarøy",1875,108,19,7,8,10,38,28
"Tromsø",5501,"2022-2023","5401 Tromsø (2020-2023)",5401,4093,1118,653,511,502,565,745
"Harstad - Hárstták",5503,"2022-2023","5402 Harstad - Hárstták (2020-2023)",5402,1171,222,229,188,177,125,231
"Alta",5601,"2022-2023","5403 Alta (2020-2023)",5403,1518,256,266,179,183,344,292
"Vardø",5634,"2022-2023","5404 Vardø (2020-2023)",5404,92,6,22,14,10,13,29
"Vadsø",5607,"2022-2023","5405 Vadsø (2020-2023)",5405,234,15,70,30,35,34,51
"Hammerfest - Hámmerfeasta",5603,"2022-2023","5406 Hammerfest - Hámmerfeasta (2020-2023)",5406,704,98,123,107,83,139,155
"Kvæfjord",5510,"2022-2023","5411 Kvæfjord (2020-2023)",5411,95,11,10,16,7,25,27
"Dielddanuorri - Tjeldsund",5512,"2022-2023","5412 Dielddanuorri - Tjeldsund (2020-2023)",5412,145,16,22,10,11,49,39
"Ibestad",5514,"2022-2023","5413 Ibestad (2020-2023)",5413,27,NA,6,NA,NA,NA,11
"Gratangen",5516,"2022-2023","5414 Gratangen (2020-2023)",5414,49,NA,14,NA,NA,9,14
"Loabák - Lavangen",5518,"2022-2023","5415 Loabák - Lavangen (2020-2023)",5415,49,NA,11,NA,6,14,11
"Bardu",5520,"2022-2023","5416 Bardu (2020-2023)",5416,205,28,28,10,18,80,42
"Salangen",5522,"2022-2023","5417 Salangen (2020-2023)",5417,72,NA,16,6,10,9,28
"Målselv",5524,"2022-2023","5418 Målselv (2020-2023)",5418,360,63,44,29,23,151,51
"Sørreisa",5526,"2022-2023","5419 Sørreisa (2020-2023)",5419,87,6,14,10,10,20,28
"Dyrøy",5528,"2022-2023","5420 Dyrøy (2020-2023)",5420,34,5,8,NA,NA,NA,13
"Senja",5530,"2022-2023","5421 Senja (2020-2023)",5421,676,85,124,72,99,127,171
"Balsfjord",5532,"2022-2023","5422 Balsfjord (2020-2023)",5422,300,23,41,28,22,113,74
"Karlsøy",5534,"2022-2023","5423 Karlsøy (2020-2023)",5423,93,11,18,10,8,16,30
"Lyngen",5536,"2022-2023","5424 Lyngen (2020-2023)",5424,99,5,24,8,17,18,28
"Storfjord - Omasvuotna - Omasvuono",5538,"2022-2023","5425 Storfjord - Omasvuotna - Omasvuono (2020-2023)",5425,159,6,19,19,15,49,51
"Gáivuotna - Kåfjord - Kaivuono",5540,"2022-2023","5426 Gáivuotna - Kåfjord - Kaivuono (2020-2023)",5426,86,7,13,11,10,37,9
"Skjervøy",5542,"2022-2023","5427 Skjervøy (2020-2023)",5427,69,9,13,5,7,16,21
"Nordreisa - Ráisa - Raisi",5544,"2022-2023","5428 Nordreisa - Ráisa - Raisi (2020-2023)",5428,221,20,37,44,26,53,42
"Kvænangen",5546,"2022-2023","5429 Kvænangen (2020-2023)",5429,67,8,6,5,5,27,17
"Guovdageaidnu - Kautokeino",5612,"2022-2023","5430 Guovdageaidnu - Kautokeino (2020-2023)",5430,198,18,28,10,15,75,54
"Loppa",5614,"2022-2023","5432 Loppa (2020-2023)",5432,24,NA,NA,NA,NA,NA,12
"Hasvik",5616,"2022-2023","5433 Hasvik (2020-2023)",5433,43,NA,9,NA,7,NA,18
"Måsøy",5618,"2022-2023","5434 Måsøy (2020-2023)",5434,61,9,9,7,6,9,22
"Nordkapp",5620,"2022-2023","5435 Nordkapp (2020-2023)",5435,139,23,19,13,13,28,44
"Porsanger - Porsángu - Porsanki",5622,"2022-2023","5436 Porsanger - Porsángu - Porsanki (2020-2023)",5436,258,33,47,27,30,53,69
"Kárásjohka - Karasjok",5610,"2022-2023","5437 Kárásjohka - Karasjok (2020-2023)",5437,142,15,34,14,19,26,35
"Lebesby",5624,"2022-2023","5438 Lebesby (2020-2023)",5438,85,NA,20,9,8,12,35
"Gamvik",5626,"2022-2023","5439 Gamvik (2020-2023)",5439,74,NA,16,13,12,8,22
"Berlevåg",5630,"2022-2023","5440 Berlevåg (2020-2023)",5440,43,NA,12,NA,NA,6,17
"Deatnu - Tana",5628,"2022-2023","5441 Deatnu - Tana (2020-2023)",5441,142,8,25,20,12,42,37
"Unjárga - Nesseby",5636,"2022-2023","5442 Unjárga - Nesseby (2020-2023)",5442,64,NA,7,11,6,26,11
"Båtsfjord",5632,"2022-2023","5443 Båtsfjord (2020-2023)",5443,86,9,19,11,11,18,20
"Sør-Varanger",5605,"2022-2023","5444 Sør-Varanger (2020-2023)",5444,559,61,101,51,121,96,130
"Halden",3101,"2023-2024","3101 Halden",3101,2740,401,370,536,420,442,574
"Moss",3103,"2023-2024","3103 Moss",3103,3081,1137,386,328,288,359,584
"Sarpsborg",3105,"2023-2024","3105 Sarpsborg",3105,3729,1153,571,413,427,480,687
"Fredrikstad",3107,"2023-2024","3107 Fredrikstad",3107,5187,1701,716,530,555,686,999
"Hvaler",3110,"2023-2024","3110 Hvaler",3110,255,70,32,15,13,36,91
"Råde",3112,"2023-2024","3112 Råde",3112,499,117,41,41,100,112,88
"Våler (Østfold)",3114,"2023-2024","3114 Våler (Østfold)",3114,191,45,28,24,16,41,39
"Skiptvet",3116,"2023-2024","3116 Skiptvet",3116,139,23,20,13,10,36,39
"Indre Østfold",3118,"2023-2024","3118 Indre Østfold",3118,2639,567,359,308,357,498,551
"Rakkestad",3120,"2023-2024","3120 Rakkestad",3120,274,72,41,24,22,61,56
"Marker",3122,"2023-2024","3122 Marker",3122,279,17,12,70,47,46,88
"Aremark",3124,"2023-2024","3124 Aremark",3124,34,8,7,NA,NA,8,7
"Bærum",3201,"2023-2024","3201 Bærum",3201,6509,2675,754,352,509,652,1567
"Asker",3203,"2023-2024","3203 Asker",3203,4372,1632,601,308,362,545,926
"Lillestrøm",3205,"2023-2024","3205 Lillestrøm",3205,5291,1913,664,466,477,653,1119
"Nordre Follo",3207,"2023-2024","3207 Nordre Follo",3207,2852,847,341,287,233,590,555
"Ullensaker",3209,"2023-2024","3209 Ullensaker",3209,6234,2607,544,664,872,745,803
"Nesodden",3212,"2023-2024","3212 Nesodden",3212,598,194,102,42,58,46,157
"Frogn",3214,"2023-2024","3214 Frogn",3214,678,195,81,55,57,146,146
"Vestby",3216,"2023-2024","3216 Vestby",3216,870,296,121,70,56,140,187
"Ås",3218,"2023-2024","3218 Ås",3218,1247,457,139,126,76,257,193
"Enebakk",3220,"2023-2024","3220 Enebakk",3220,433,94,74,42,38,75,111
"Lørenskog",3222,"2023-2024","3222 Lørenskog",3222,2323,751,314,269,209,181,600
"Rælingen",3224,"2023-2024","3224 Rælingen",3224,858,145,107,61,56,305,186
"Aurskog-Høland",3226,"2023-2024","3226 Aurskog-Høland",3226,615,132,113,45,54,97,176
"Nes",3228,"2023-2024","3228 Nes",3228,857,234,128,95,74,119,208
"Gjerdrum",3230,"2023-2024","3230 Gjerdrum",3230,171,45,18,10,13,30,56
"Nittedal",3232,"2023-2024","3232 Nittedal",3232,812,237,115,46,58,150,208
"Lunner",3234,"2023-2024","3234 Lunner",3234,498,65,56,67,40,170,102
"Jevnaker",3236,"2023-2024","3236 Jevnaker",3236,206,39,28,13,25,46,57
"Nannestad",3238,"2023-2024","3238 Nannestad",3238,514,110,70,51,43,93,147
"Eidsvoll",3240,"2023-2024","3240 Eidsvoll",3240,1327,287,199,146,100,238,358
"Hurdal",3242,"2023-2024","3242 Hurdal",3242,107,26,19,12,13,12,26
"Oslo",301,"2023-2024","0301 Oslo",301,70192,29378,9048,4606,7274,6774,13112
"Drammen",3301,"2023-2024","3301 Drammen",3301,6829,2711,741,686,642,813,1237
"Kongsberg",3303,"2023-2024","3303 Kongsberg",3303,1199,354,166,98,91,158,334
"Ringerike",3305,"2023-2024","3305 Ringerike",3305,1600,359,329,130,149,277,359
"Hole",3310,"2023-2024","3310 Hole",3310,295,58,24,15,13,127,59
"Lier",3312,"2023-2024","3312 Lier",3312,1220,365,113,99,88,294,262
"Øvre Eiker",3314,"2023-2024","3314 Øvre Eiker",3314,921,310,117,82,65,152,196
"Modum",3316,"2023-2024","3316 Modum",3316,544,148,82,42,43,84,147
"Krødsherad",3318,"2023-2024","3318 Krødsherad",3318,116,57,11,7,NA,21,16
"Flå",3320,"2023-2024","3320 Flå",3320,64,21,NA,5,NA,17,14
"Nesbyen",3322,"2023-2024","3322 Nesbyen",3322,144,27,14,6,6,67,25
"Gol",3324,"2023-2024","3324 Gol",3324,258,49,34,19,13,95,49
"Hemsedal",3326,"2023-2024","3326 Hemsedal",3326,227,128,24,18,8,19,31
"Ål",3328,"2023-2024","3328 Ål",3328,197,31,27,11,12,77,39
"Hol",3330,"2023-2024","3330 Hol",3330,311,129,31,19,14,52,68
"Sigdal",3332,"2023-2024","3332 Sigdal",3332,110,31,13,8,8,25,26
"Flesberg",3334,"2023-2024","3334 Flesberg",3334,97,22,15,5,8,21,27
"Rollag",3336,"2023-2024","3336 Rollag",3336,42,NA,7,NA,5,9,16
"Nore og Uvdal",3338,"2023-2024","3338 Nore og Uvdal",3338,101,24,13,7,NA,18,36
"Kongsvinger",3401,"2023-2024","3401 Kongsvinger",3401,1224,275,169,178,149,199,256
"Hamar",3403,"2023-2024","3403 Hamar",3403,2045,692,294,213,240,129,479
"Lillehammer",3405,"2023-2024","3405 Lillehammer",3405,1150,357,177,112,102,120,283
"Gjøvik",3407,"2023-2024","3407 Gjøvik",3407,1627,376,273,221,196,235,327
"Ringsaker",3411,"2023-2024","3411 Ringsaker",3411,1468,361,234,122,159,196,398
"Løten",3412,"2023-2024","3412 Løten",3412,697,49,42,34,36,450,88
"Stange",3413,"2023-2024","3413 Stange",3413,953,191,142,78,189,131,224
"Nord-Odal",3414,"2023-2024","3414 Nord-Odal",3414,175,27,24,28,16,21,60
"Sør-Odal",3415,"2023-2024","3415 Sør-Odal",3415,376,56,52,61,26,97,85
"Eidskog",3416,"2023-2024","3416 Eidskog",3416,454,56,60,73,41,120,105
"Grue",3417,"2023-2024","3417 Grue",3417,208,32,35,18,22,37,65
"Åsnes",3418,"2023-2024","3418 Åsnes",3418,270,41,45,25,38,36,86
"Våler (Innlandet)",3419,"2023-2024","3419 Våler (Innlandet)",3419,138,24,25,8,11,24,47
"Elverum",3420,"2023-2024","3420 Elverum",3420,1497,315,193,139,168,364,319
"Trysil",3421,"2023-2024","3421 Trysil",3421,492,176,54,42,45,85,92
"Åmot",3422,"2023-2024","3422 Åmot",3422,219,54,31,16,22,34,64
"Stor-Elvdal",3423,"2023-2024","3423 Stor-Elvdal",3423,134,20,12,13,16,40,34
"Rendalen",3424,"2023-2024","3424 Rendalen",3424,114,16,11,8,14,47,19
"Engerdal",3425,"2023-2024","3425 Engerdal",3425,50,9,8,NA,NA,8,21
"Tolga",3426,"2023-2024","3426 Tolga",3426,39,6,NA,NA,NA,9,16
"Tynset",3427,"2023-2024","3427 Tynset",3427,287,37,43,30,29,81,69
"Alvdal",3428,"2023-2024","3428 Alvdal",3428,287,10,12,23,9,215,19
"Folldal",3429,"2023-2024","3429 Folldal",3429,37,6,NA,5,NA,NA,18
"Os",3430,"2023-2024","3430 Os",3430,36,NA,6,NA,NA,6,17
"Dovre",3431,"2023-2024","3431 Dovre",3431,155,20,10,8,9,78,32
"Lesja",3432,"2023-2024","3432 Lesja",3432,158,10,7,NA,6,118,14
"Skjåk",3433,"2023-2024","3433 Skjåk",3433,83,14,10,NA,5,25,26
"Lom",3434,"2023-2024","3434 Lom",3434,60,21,NA,NA,NA,6,23
"Vågå",3435,"2023-2024","3435 Vågå",3435,80,16,10,5,9,16,24
"Nord-Fron",3436,"2023-2024","3436 Nord-Fron",3436,186,49,28,26,15,18,52
"Sel",3437,"2023-2024","3437 Sel",3437,380,34,44,14,34,200,56
"Sør-Fron",3438,"2023-2024","3438 Sør-Fron",3438,81,18,9,6,6,14,29
"Ringebu",3439,"2023-2024","3439 Ringebu",3439,214,56,14,18,9,69,48
"Øyer",3440,"2023-2024","3440 Øyer",3440,346,112,23,19,10,134,49
"Gausdal",3441,"2023-2024","3441 Gausdal",3441,140,37,16,12,9,16,52
"Østre Toten",3442,"2023-2024","3442 Østre Toten",3442,499,62,78,38,28,138,156
"Vestre Toten",3443,"2023-2024","3443 Vestre Toten",3443,603,112,88,83,61,113,147
"Gran",3446,"2023-2024","3446 Gran",3446,679,92,82,131,78,152,146
"Søndre Land",3447,"2023-2024","3447 Søndre Land",3447,177,15,34,15,18,45,51
"Nordre Land",3448,"2023-2024","3448 Nordre Land",3448,179,27,30,12,17,34,60
"Sør-Aurdal",3449,"2023-2024","3449 Sør-Aurdal",3449,83,9,8,10,6,16,35
"Etnedal",3450,"2023-2024","3450 Etnedal",3450,44,9,NA,NA,NA,13,14
"Nord-Aurdal",3451,"2023-2024","3451 Nord-Aurdal",3451,374,62,48,35,55,109,66
"Vestre Slidre",3452,"2023-2024","3452 Vestre Slidre",3452,83,13,7,17,8,22,17
"Øystre Slidre",3453,"2023-2024","3453 Øystre Slidre",3453,155,34,18,13,25,24,42
"Vang",3454,"2023-2024","3454 Vang",3454,49,19,8,NA,NA,8,11
"Horten",3901,"2023-2024","3901 Horten",3901,1522,546,195,190,135,173,284
"Holmestrand",3903,"2023-2024","3903 Holmestrand",3903,1292,312,165,137,92,348,239
"Tønsberg",3905,"2023-2024","3905 Tønsberg",3905,4026,1429,556,482,379,397,784
"Sandefjord",3907,"2023-2024","3907 Sandefjord",3907,3860,1229,546,383,426,413,864
"Larvik",3909,"2023-2024","3909 Larvik",3909,2358,749,298,231,194,346,542
"Færder",3911,"2023-2024","3911 Færder",3911,1110,388,150,121,92,85,276
"Porsgrunn",4001,"2023-2024","4001 Porsgrunn",4001,2547,803,359,295,210,445,436
"Skien",4003,"2023-2024","4003 Skien",4003,3647,1111,613,426,362,390,745
"Notodden",4005,"2023-2024","4005 Notodden",4005,700,134,135,77,65,116,174
"Siljan",4010,"2023-2024","4010 Siljan",4010,60,18,6,NA,NA,11,18
"Bamble",4012,"2023-2024","4012 Bamble",4012,784,275,103,74,46,108,180
"Kragerø",4014,"2023-2024","4014 Kragerø",4014,886,372,111,61,63,118,163
"Drangedal",4016,"2023-2024","4016 Drangedal",4016,150,36,24,10,19,22,42
